"miembros","MOVILIDAD","DECOMISO","SECUESTRO","GENERO","EDADES","FALLECIDOS","OCUPA","TIENE_OS","COND_OCUP","CANT_BANCOS","MONTO_BANCOS","CALIF_BCRA","CompromisosMensuales","NSE_AGRUP"
"3",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$51.235/$73.333"
"1","Motocicleta(s)",NA,"Arma(s) de fuego y Otros","Masculino","63 + años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"2","Motocicleta(s)","Mamifero(s)","Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Servicios varios","No",NA,"1",81,"1",143,"$23.153/$36.166"
"3","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","21 - 34 años",NA,NA,"No",NA,"1",22,"1",61,"$23.153/$36.166"
"3","Lancha(s)",NA,"Equip.de pesca","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1",NA,"Madera(s)",NA,"Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego","Masculino","63 + años",NA,NA,"Si","Jubilados y Pensionados de Pami",NA,NA,NA,NA,"<=$23.152"
"3",NA,NA,"Arma(s) de fuego","Masculino","63 + años",NA,NA,"Si","Jubilados y Pensionados de Pami",NA,NA,NA,NA,"<=$23.152"
"2","Canoa(s)",NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"4",NA,"Peces","Equip.de pesca","Masculino","35 - 48 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$36.167/$51.234"
"3",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"4",NA,NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,"Mamifero(s), Ave(s), y Otro(s)","Equip.de pesca y Otros","Masculino","21 - 34 años",NA,"Agropecuario","Si","Pequeños Contribuyentes Monotributistas Ley 25 86",NA,NA,NA,NA,"$51.235/$73.333"
"1",NA,"Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,"1",4,"1",14,"<=$23.152"
"3",NA,"Mamifero(s), Ave(s), y Otro(s)","Arma(s) de fuego y Otros","Masculino","21 - 34 años",NA,"Agropecuario","Si","Pequeños Contribuyentes Monotributistas Ley 25 86",NA,NA,NA,NA,"$51.235/$73.333"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1","Caballo(s)/Bicicleta(s)",NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Camion(es)/Maquin(as)","Madera(s)",NA,"Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Camioneta(s)","Madera(s)",NA,"Masculino","49 - 62 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$51.235/$73.333"
"1",NA,"Madera(s)",NA,"Masculino","49 - 62 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$73.334$143.107"
"1",NA,NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","21 - 34 años",NA,NA,"No",NA,"1",52,"1",128,"$73.334$143.107"
"1","Caballo(s)/Bicicleta(s)",NA,"Arma(s) blancas y Otros","Masculino","21 - 34 años",NA,NA,"No",NA,"2",45,"1",94,"$36.167/$51.234"
"2","Motocicleta(s)","Mamifero(s)","Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"3",NA,NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","Si","Relacion de Dependencia","1",31,"1",90,"$36.167/$51.234"
"1","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1",NA,"Madera(s)",NA,"Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Canoa(s)",NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","Si","Relacion de Dependencia",NA,NA,NA,NA,"$36.167/$51.234"
"1","Canoa(s)",NA,"Equip.de pesca","Masculino","63 + años",NA,NA,"No",NA,NA,NA,NA,NA,"$23.153/$36.166"
"3",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"2","Canoa(s)",NA,"Equip.de pesca","Femenino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,2,"<=$23.152"
"2","Canoa(s)",NA,"Equip.de pesca","Femenino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,2,"<=$23.152"
"4",NA,NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,"Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,"1",63,"1",98,"<=$23.152"
"2",NA,NA,"Arma(s) blancas y Otros","Masculino","63 + años",NA,NA,"No",NA,"2",20,"1",34,"$23.153/$36.166"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Equip.de pesca","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,"Madera(s)",NA,"Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$23.153/$36.166"
"1",NA,"Ornamentales(s) y Otro(s)",NA,"Femenino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Equip.de pesca","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,NA,"Equip.de pesca","Masculino","49 - 62 años",NA,NA,"Si","Relacion de Dependencia","4",88,"1",152,"$36.167/$51.234"
"1",NA,"Madera(s)",NA,"Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Automoviles","Mamifero(s)","Arma(s) de fuego","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,"2",12,"1",21,"$23.153/$36.166"
"1",NA,"Madera(s)",NA,"Femenino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"$23.153/$36.166"
"1","Canoa(s)",NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,3,"$36.167/$51.234"
"1",NA,"Madera(s)",NA,"Masculino","63 + años",NA,"Agropecuario","No",NA,"1",7,"1",36,"$23.153/$36.166"
"2",NA,NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1",NA,"Peces","Equip.de pesca y Otros","Masculino","63 + años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Caballo(s)/Bicicleta(s)","Mamifero(s), Ave(s), y Otro(s)","Arma(s) de fuego","Masculino","63 + años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Equip.de pesca","Masculino","63 + años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Equip.de pesca","Masculino","63 + años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"<=$23.152"
"1",NA,"Peces","Equip.de pesca","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"2",NA,NA,"Equip.de pesca y Otros","Masculino","21 - 34 años",NA,NA,"No",NA,"1",34,"1",87,"<=$23.152"
"2","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,"Mamifero(s)","Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1",NA,NA,"Equip.de pesca","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Equip.de pesca","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$73.334$143.107"
"5",NA,NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"Si","Relacion de Dependencia","2",65,"1",127,"$51.235/$73.333"
"1","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,"Construcción","No",NA,NA,NA,NA,NA,"<=$23.152"
"3","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,"Construcción","No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,NA,"Equip.de pesca","Masculino","49 - 62 años",NA,NA,"Si","Jubilados y Pensionados de Pami",NA,NA,NA,NA,"<=$23.152"
"4",NA,"Peces","Equip.de pesca","Masculino","35 - 48 años",NA,NA,"No",NA,"1",6,"1",35,"<=$23.152"
"3",NA,NA,"Equip.de pesca","Masculino","21 - 34 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) blancas y Otros","Masculino","49 - 62 años",NA,NA,"Si","Relacion de Dependencia","3",94,"5",160,"$51.235/$73.333"
"3",NA,NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Reparación/Mant.","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"1",NA,"Mamifero(s)",NA,"Masculino","35 - 48 años",NA,"Forestal","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,"Mamifero(s)",NA,"Masculino","35 - 48 años",NA,"Forestal","No",NA,NA,NA,NA,NA,"<=$23.152"
"5",NA,"Peces","Equip.de pesca y Otros","Masculino","21 - 34 años",NA,NA,"Si","Relacion de Dependencia","2",28,"1",66,"$23.153/$36.166"
"1",NA,NA,"Arma(s) blancas y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) blancas y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,NA,"Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Canoa(s)","Mamifero(s), Ave(s), y Otro(s)","Equip.de pesca","Femenino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,"Mamifero(s)","Arma(s) blancas y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,"2",19,"1",40,"<=$23.152"
"3","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,"Comercio","No",NA,NA,NA,NA,NA,"$73.334$143.107"
"2","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,"2",19,"1",40,"<=$23.152"
"1","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","49 - 62 años",NA,"Transporte","No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Motocicleta(s) y Otro(s)",NA,"Arma(s) de fuego","Masculino","63 + años",NA,NA,"No",NA,"1",54,"1",77,"<=$23.152"
"1",NA,"Mamifero(s), Ave(s), y Otro(s)",NA,"Masculino","49 - 62 años",NA,NA,"Si","Relacion de Dependencia","3",105,"1",163,"$73.334$143.107"
"2","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,NA,"No",NA,"1",46,"1",67,"$23.153/$36.166"
"3",NA,"Mamifero(s)","Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$36.167/$51.234"
"3","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,"Ornamentales(s) y Otro(s)",NA,"Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Motocicleta(s)",NA,"Arma(s) de fuego y Otros","Femenino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,NA,"Equip.de pesca y Otros","Masculino","63 + años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) blancas y Otros","Masculino","35 - 48 años",NA,"Construcción","No",NA,"1",27,"1",76,"$23.153/$36.166"
"1","Motocicleta(s)",NA,"Arma(s) de fuego","Femenino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$36.167/$51.234"
"5",NA,NA,"Arma(s) de fuego","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Motocicleta(s)",NA,"Arma(s) de fuego y Otros","Masculino","21 - 34 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$23.153/$36.166"
"2","Motocicleta(s)","Mamifero(s), Ave(s), y Otro(s)","Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","21 - 34 años",NA,"Agropecuario","Si","Relacion de Dependencia",NA,NA,NA,NA,"$36.167/$51.234"
"2",NA,NA,"Arma(s) de fuego","Masculino","21 - 34 años",NA,NA,"Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$36.167/$51.234"
"1",NA,"Madera(s)",NA,"Masculino","63 + años",NA,NA,"Si","Relacion de Dependencia","1",69,"1",131,"$51.235/$73.333"
"1",NA,NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales","1",4,"1",5,"$23.153/$36.166"
"1",NA,NA,"Equip.de pesca","Masculino","35 - 48 años",NA,NA,"No",NA,"1",85,"1",118,"$51.235/$73.333"
"2",NA,NA,"Equip.de pesca","Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia","1",32,"1",102,"$36.167/$51.234"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","21 - 34 años",NA,"Reparación/Mant.","Si","Pequeños Contribuyentes Monotributistas Ley 25 86",NA,NA,NA,NA,"$36.167/$51.234"
"3",NA,"Mamifero(s)","Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","Si","Pequeños Contribuyentes Monotributistas Ley 25 86",NA,NA,NA,NA,"$36.167/$51.234"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,NA,"No",NA,"1",32,"1",73,"$23.153/$36.166"
"1","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Canoa(s)",NA,NA,"Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,NA,"Equip.de pesca y Otros","Masculino","21 - 34 años",NA,"Reparación/Mant.","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"3",NA,NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"2",NA,"Mamifero(s)","Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"3","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,"Ornamentales(s) y Otro(s)","Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,"Peces","Equip.de pesca y Otros","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"1",NA,"Mamifero(s)","Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Camioneta(s)","Mamifero(s)","Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1","Canoa(s)",NA,"Equip.de pesca","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,"Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,"1",98,"1",150,"$23.153/$36.166"
"1","Motocicleta(s)","Peces","Equip.de pesca y Otros","Masculino","21 - 34 años",NA,NA,"No",NA,"1",86,"1",149,"$51.235/$73.333"
"2",NA,NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego","Masculino","21 - 34 años",NA,NA,"No",NA,"1",99,"1",153,"$51.235/$73.333"
"3",NA,NA,"Equip.de pesca y Otros","Masculino","63 + años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,"Mamifero(s)","Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$36.167/$51.234"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Motocicleta(s) y Otro(s)",NA,"Arma(s) de fuego","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"4","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,"Construcción","No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Lancha(s)",NA,"Equip.de pesca","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"5",NA,NA,"Arma(s) de fuego","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"5",NA,NA,"Arma(s) de fuego","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1",NA,NA,"Equip.de pesca","Masculino","21 - 34 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$23.153/$36.166"
"1","Motocicleta(s)","Mamifero(s)",NA,"Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Lancha(s)",NA,"Equip.de pesca","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$51.235/$73.333"
"2","Canoa(s)",NA,"Equip.de pesca","Masculino","21 - 34 años",NA,NA,"No",NA,NA,NA,NA,NA,"$23.153/$36.166"
"1","Camioneta(s)","Mamifero(s)","Arma(s) de fuego","Masculino","21 - 34 años",NA,"Agropecuario","Si","Pequeños Contribuyentes Monotributistas Ley 25 86","1",42,"1",59,">=$229.817"
"3","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$73.334$143.107"
"1",NA,NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,"Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"4",NA,NA,"Arma(s) blancas y Otros","Masculino","21 - 34 años",NA,NA,"Si","Relacion de Dependencia","1",30,"1",80,"$36.167/$51.234"
"4",NA,"Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"5",NA,"Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia","2",70,"1",123,"$36.167/$51.234"
"4",NA,"Peces","Arma(s) blancas y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"2","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Comercio","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,"Mamifero(s)","Arma(s) de fuego y Otros","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"1",NA,"Madera(s)",NA,"Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"4",NA,"Peces","Arma(s) blancas y Otros","Femenino","21 - 34 años",NA,NA,"No",NA,"1",2,"1",29,"<=$23.152"
"2","Motocicleta(s)",NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","Si","Monotributistas Efectores Sociales",NA,NA,NA,NA,"$36.167/$51.234"
"4",NA,"Mamifero(s), Ave(s), y Otro(s)","Equip.de pesca","Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$23.153/$36.166"
"1",NA,"Madera(s)","Arma(s) blancas y Otros","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Automoviles","Madera(s)",NA,"Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Canoa(s)",NA,"Equip.de pesca y Otros","Masculino","35 - 48 años",NA,"Servicios varios","No",NA,NA,NA,NA,NA,"<=$23.152"
"1","Motocicleta(s)",NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,"Madera(s)",NA,"Masculino","63 + años",NA,"Servicios varios","Si","Jubilados y Pensionados de Pami","1",56,"1",103,"$23.153/$36.166"
"1",NA,"Peces","Arma(s) de fuego","Masculino","35 - 48 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$36.167/$51.234"
"2",NA,"Peces","Equip.de pesca","Masculino","21 - 34 años",NA,"Agropecuario","No",NA,NA,NA,NA,NA,"$23.153/$36.166"
"2",NA,NA,"Equip.de pesca y Otros","Masculino","21 - 34 años",NA,"Forestal","Si","Relacion de Dependencia",NA,NA,NA,NA,"<=$23.152"
"1","Camion(es)/Maquin(as)","Madera(s)",NA,"Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,"Mamifero(s)",NA,"Masculino","21 - 34 años",NA,NA,"Si","Relacion de Dependencia","1",30,"1",138,"$36.167/$51.234"
"3","Canoa(s)","Peces","Equip.de pesca y Otros","Masculino","49 - 62 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$36.167/$51.234"
"3",NA,NA,"Arma(s) de fuego","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Equip.de pesca","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,NA,"Equip.de pesca y Otros","Masculino","21 - 34 años",NA,NA,"Si","Relacion de Dependencia",NA,NA,NA,NA,"$23.153/$36.166"
"4","Lancha(s)",NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"3",NA,"Mamifero(s)","Arma(s) de fuego","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"4","Automoviles","Mamifero(s)","Arma(s) de fuego","Masculino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"$23.153/$36.166"
"4","Lancha(s)",NA,"Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,"Comercio","No",NA,"1",104,"1",155,"$51.235/$73.333"
"4",NA,"Peces","Equip.de pesca","Femenino","21 - 34 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,"Madera(s)",NA,"Femenino","35 - 48 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"1",NA,NA,"Arma(s) de fuego y Otros","Masculino","49 - 62 años",NA,NA,"No",NA,NA,NA,NA,NA,"<=$23.152"
"2",NA,"Peces","Arma(s) de fuego y Otros","Masculino","35 - 48 años",NA,NA,"Si","Relacion de Dependencia","1",27,"1",116,"<=$23.152"
